n = 400000
  c      k    kbar     theory  simulation       err
  2   2.00   2.000   0.000000    0.000050  5.00e-05
  2   3.00   2.998   0.312753    0.309650  3.10e-03
  2   4.00   3.998   0.769267    0.767402  1.86e-03
  2   6.00   5.996   0.964918    0.964700  2.18e-04
  3   0.10   0.200   0.095163    0.094952  2.10e-04
  3   0.30   0.600   0.259182    0.259095  8.68e-05
  3   1.00   1.999   0.632121    0.632297  1.77e-04
  3   2.00   4.000   0.864665    0.864892  2.28e-04
  4   0.10   0.300   0.095163    0.094958  2.05e-04
  4   0.50   1.500   0.393469    0.392940  5.29e-04
  4   1.50   4.500   0.776870    0.778118  1.25e-03
