n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
912,10,2.1611842105263155,7.141447368421053,34.39144736842105,2.304414003044141,10,hrg,2.1,2.0,1000,1,2.368,0.18
1228,7,1.9136807817589576,4.457654723127036,12.628664495114005,1.32936170212766,6,config,2.1,2.0,1000,1,2.068,0.19
892,9,1.928251121076233,5.293721973094171,20.59417040358744,1.7453488372093031,8,hrg,2.1,2.0,1000,2,1.944,0.14
1174,5,1.7972742759795568,3.7666098807495745,9.039182282793867,1.0957345971563988,5,config,2.1,2.0,1000,2,1.802,0.14
917,11,1.925845147219193,5.646673936750273,25.114503816793892,1.9320498301245754,10,hrg,2.1,2.0,1000,3,2.0,0.05
1146,7,1.774869109947644,3.8499127399650956,10.209424083769633,1.1691248770894789,6,config,2.1,2.0,1000,3,1.688,0.05
2818,10,1.8995741660752308,5.22888573456352,21.021646557842445,1.752662058658696,9,hrg,2.1,2.0,3000,1,1.888,0.21
3264,6,1.7530637254901962,3.74264705882353,9.701593137254902,1.1349178608878017,6,config,2.1,2.0,3000,1,1.5633333333333332,0.22
2704,12,1.9730029585798816,5.953032544378697,27.517381656804734,2.0172446110590436,11,hrg,2.1,2.0,3000,2,2.002,0.09
3876,6,1.8173374613003095,3.858617131062952,9.503095975232197,1.1232254400908577,7,config,2.1,2.0,3000,2,1.9233333333333333,0.1
2722,12,1.8523144746509919,5.3857457751653195,26.416605437178543,1.9075763585878618,11,hrg,2.1,2.0,3000,3,1.7673333333333334,0.22
3592,7,1.798162583518931,4.035913140311805,11.514755011135856,1.2444650874748415,8,config,2.1,2.0,3000,3,1.6706666666666667,0.24
9146,18,1.982396676142576,6.887273124863329,44.40028427727969,2.474215432132812,17,hrg,2.1,2.0,10000,1,1.989,0.22
12659,10,1.8762145509123944,4.601074334465597,15.553598230507937,1.452317797145383,11,config,2.1,2.0,10000,1,1.8664,0.26
9193,20,1.9793321005112587,6.879582290873491,47.856847601435874,2.475708947021323,19,hrg,2.1,2.0,10000,2,1.9974,0.15
12299,10,1.9245467111147248,5.046426538742987,19.15814293845028,1.622137727080693,12,config,2.1,2.0,10000,2,1.8366,0.19
9259,17,1.8789286100010802,6.033156928393995,36.24462684955179,2.21095591193884,16,hrg,2.1,2.0,10000,3,1.797,0.43
11868,9,1.8016514998314797,4.189753960229187,12.916413886080216,1.3255074361612569,10,config,2.1,2.0,10000,3,1.6178,0.47
