Erdos-Renyi: finite <k^2>, no geometry, no heavy tail
  kbar        n  c_max     <c>       m2    sbar
     2    10000      3   1.878    3.635   0.935
     2    30000      2   1.882    3.646   0.937
     2   100000      3   1.881    3.642   0.937
     2   300000      3   1.881    3.643   0.937
     4    10000      3   1.992    3.976   0.996
     4    30000      3   1.991    3.973   0.996
     4   100000      3   1.992    3.975   0.996
     4   300000      3   1.991    3.973   0.995
     8    10000      3   2.002    4.011   1.003
     8    30000      3   2.001    4.003   1.001
     8   100000      3   2.000    4.001   1.000
     8   300000      3   2.000    4.000   1.000
