tau,kbar_target,kbar,seed,hrg_trans,hrg_C_all,hrg_C,hrg_frac2,cfg_trans,cfg_C_all,cfg_C,cfg_frac2,secs
2.5,0.05,0.04945,1,0.011486514915639331,0.000832280011733354,0.24807153851962857,0.003355,0.0004016781219316255,6.053803699243275e-07,0.00018044124289845825,0.003355,2.4
2.5,0.05,0.04974,2,0.016213389121338913,0.0006133907530206743,0.17857081601766356,0.003435,0.0,0.0,0.0,0.003435,2.6
2.5,0.1,0.09934,1,0.0075769741740514185,0.00298514337442453,0.3185852053814866,0.00937,0.0005375757670193371,4.091624432150476e-05,0.004369059724666818,0.009365,2.6
2.5,0.1,0.09875,2,0.020476087113812314,0.002595527122037435,0.2882317736854453,0.009005,0.00015128211593252818,1.7370634485786654e-06,0.0001928998832402738,0.009005,2.7
2.5,0.2,0.1967,1,0.009464233113797902,0.009473345234347041,0.40701805518139805,0.023275,0.0004980292629921497,5.849397009286525e-05,0.002513707352508176,0.02327,2.6
2.5,0.2,0.19844,2,0.0196078431372549,0.009405457749624124,0.3930404408534945,0.02393,0.0002985949448981736,1.689072986858279e-05,0.0007058391085910068,0.02393,2.9
2.5,0.4,0.39241,1,0.009201213523823195,0.028385169215660918,0.4883890092164645,0.05812,0.0005655505117119358,0.00025249385392222304,0.004345849465098504,0.0581,3.2
2.5,0.4,0.39477,2,0.020701433208743337,0.02943772462595895,0.49226964257456435,0.0598,0.0005303818154806121,0.0001475963588650309,0.002468992286133003,0.05978,3.3
2.5,0.8,0.78427,1,0.009053698085745254,0.08128704189379521,0.5861271362713718,0.138685,0.0006795924950439856,0.000745997569204413,0.0053812130794518714,0.13863,4.8
2.5,0.8,0.7918,2,0.021068401218241623,0.08324846496504867,0.5829520322471108,0.142805,0.0007686674283036002,0.0003214314787228262,0.002251078357887991,0.14279,4.5
2.5,1.5,1.47701,1,0.009215410999292187,0.18818236725381568,0.6691642388657124,0.28122,0.0008817922247807344,0.0025158438544919167,0.008948404248592983,0.28115,12.2
2.5,1.5,1.47762,2,0.021364432817006795,0.19275690443138507,0.6695505381617463,0.28789,0.0011281814556186069,0.001249514994926106,0.0043408545941501,0.28785,7.1
2.5,3.0,3.05961,1,0.01101634185402089,0.41029230555126184,0.7506468445918965,0.546585,0.0013249328137588802,0.0066952910876627745,0.012250882569852198,0.546515,28.8
2.5,3.0,2.9537,2,0.021580738918850824,0.40228709614827357,0.74359906866594,0.541,0.0014862395766690884,0.003442493275415195,0.006363556713709068,0.54097,19.0
2.5,6.0,6.10051,1,0.011503426197970781,0.6612770749871976,0.8009023938124998,0.825665,0.0017174192869167488,0.014039616538865776,0.017005040532046746,0.825615,111.2
2.5,6.0,5.90792,2,0.022591687613046512,0.6519500349758534,0.7950222366907141,0.82004,0.002049245000903274,0.00804700964747745,0.009813486237693458,0.819995,57.0
2.9,0.05,0.04966,1,0.1289902280130293,0.0008097777777777779,0.34095906432748535,0.002375,0.0,0.0,0.0,0.002375,1.4
2.9,0.05,0.04912,2,0.18592436974789917,0.0008174007936507938,0.33917045379700983,0.00241,0.0,0.0,0.0,0.002405,1.7
2.9,0.1,0.09999,1,0.09503424657534247,0.0030837731319262834,0.4017945448763886,0.007675,0.0,0.0,0.0,0.007675,1.5
2.9,0.1,0.09869,2,0.1820601543784935,0.002911559752012693,0.3902895109936586,0.00746,0.0,0.0,0.0,0.00746,1.5
2.9,0.2,0.19979,1,0.08947885939036382,0.010938442172554514,0.4728092575126222,0.023135,0.0,0.0,0.0,0.02313,1.6
2.9,0.2,0.19862,2,0.19705203097405244,0.010817895447951057,0.46508578881990786,0.02326,0.0,0.0,0.0,0.02326,1.6
2.9,0.4,0.40175,1,0.08836044300932493,0.03570530900446476,0.5409895303706782,0.066,6.790761546180951e-05,1.0075743306669542e-05,0.00015266277737378096,0.066,1.9
2.9,0.4,0.39891,2,0.19950650285303037,0.035732490058948525,0.5380183702318531,0.066415,5.140595280933532e-05,2.0549450549450547e-06,3.094097801618693e-05,0.066415,2.0
2.9,0.8,0.80707,1,0.09526911043206195,0.10505986567837726,0.6132376002707054,0.17132,0.00014136128872326172,4.5620442372899854e-05,0.0002662878961761607,0.17132,2.4
2.9,0.8,0.79867,2,0.1963246708990168,0.10623918172515419,0.6184427145859894,0.171785,2.5371051630090067e-05,8.863583200425305e-06,5.1596956663418255e-05,0.171785,2.3
2.9,1.5,1.50824,1,0.0950010590976488,0.2435190743919803,0.6857470802190285,0.355115,0.00023887113338250243,0.00014950910791442683,0.0004210278872852449,0.355105,3.5
2.9,1.5,1.50306,2,0.19618515950565044,0.24380232609841865,0.684415041542919,0.35622,0.00011459977223295269,3.9545475924424485e-05,0.00011101575151081361,0.356215,3.3
2.9,3.0,3.01606,1,0.09627684037797607,0.4877793307880162,0.7479958761691053,0.652115,0.00032794384555745996,0.0003789016339652455,0.0005810394472792096,0.65211,7.4
2.9,3.0,2.9943,2,0.1949656036416002,0.48571215260659745,0.747324197968408,0.649935,0.00021208547133982536,0.0001302608503166481,0.00020042443407569804,0.649925,6.1
2.9,6.0,6.02839,1,0.09720583325524122,0.7130336268133592,0.7853787944655539,0.907885,0.0005586731765371543,0.0009815477434886742,0.0010811366455979277,0.907885,18.8
2.9,6.0,5.98294,2,0.19508730963078122,0.7102106957878324,0.7837067111604605,0.90622,0.0004000061562509033,0.00035883860973584704,0.0003959751380586802,0.906215,14.0
